Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
14,TechCorp,Email,Men 25-34,45 days,Instagram,14%,"$9,975.00",7.06,New York,German,994,2201,4,Health & Wellness,14-01-2021
15,TechCorp,Display,All Ages,45 days,Website,4%,"$11,346.00",5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,15-01-2021
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,11%,"$9,407.00",2.91,New York,German,299,1512,5,Health & Wellness,16-01-2021
17,Innovate Industries,Display,Women 35-44,45 days,Website,8%,"$5,478.00",4.53,Houston,English,931,2488,3,Fashionistas,17-01-2021
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,14%,"$9,485.00",4.48,Miami,French,218,9264,9,Health & Wellness,18-01-2021
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,7%,"$19,224.00",6.08,New York,French,182,5798,1,Foodies,19-01-2021
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,9%,"$10,258.00",3.83,Miami,French,193,3677,1,Tech Enthusiasts,20-01-2021
21,DataTech Solutions,Search,Women 25-34,15 days,Email,4%,"$16,580.00",7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,21-01-2021
22,TechCorp,Influencer,All Ages,30 days,Facebook,2%,"$12,824.00",6.21,New York,French,319,8586,2,Foodies,22-01-2021
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,13%,"$8,699.00",2.12,Miami,French,646,3841,5,Health & Wellness,23-01-2021
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,4%,"$17,608.00",7.31,Miami,Spanish,764,2157,8,Health & Wellness,24-01-2021
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,7%,"$8,773.00",6.03,Miami,Mandarin,527,1733,1,Fashionistas,25-01-2021
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,4%,"$14,756.00",6.23,Houston,English,809,8236,10,Health & Wellness,26-01-2021
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,9%,"$9,182.00",6.03,Houston,English,953,6916,5,Fashionistas,27-01-2021
28,TechCorp,Email,Men 25-34,30 days,YouTube,7%,"$6,601.00",3.29,New York,Spanish,604,2420,3,Foodies,28-01-2021
29,TechCorp,Influencer,Men 18-24,60 days,Email,9%,"$11,552.00",7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,29-01-2021
30,TechCorp,Social Media,Women 25-34,30 days,Email,9%,"$11,608.00",3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,30-01-2021
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,7%,"$13,124.00",2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,31-01-2021
32,NexGen Systems,Influencer,All Ages,45 days,YouTube,7%,"$13,245.00",6.83,New York,English,309,2885,7,Foodies,01-02-2021
33,NexGen Systems,Display,Women 35-44,45 days,Email,6%,"$5,796.00",4.42,New York,Spanish,367,3218,9,Foodies,02-02-2021
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,14%,"$15,082.00",2.71,Los Angeles,German,243,5724,4,Health & Wellness,03-02-2021
35,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,7%,"$18,332.00",7.81,Houston,Spanish,360,5349,6,Fashionistas,04-02-2021
36,TechCorp,Display,Men 25-34,60 days,Instagram,9%,"$13,256.00",2.51,Miami,German,250,7373,3,Health & Wellness,05-02-2021
37,DataTech Solutions,Display,All Ages,45 days,Email,4%,"$15,779.00",7.24,New York,Spanish,822,7152,1,Foodies,06-02-2021
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,6%,"$7,683.00",2.62,Houston,French,833,9772,8,Tech Enthusiasts,07-02-2021
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,11%,"$14,742.00",2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,08-02-2021
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,8%,"$15,495.00",6.97,Chicago,German,268,5495,6,Fashionistas,09-02-2021
41,DataTech Solutions,Social Media,All Ages,30 days,Website,4%,"$18,684.00",4.57,New York,French,212,4718,4,Foodies,10-02-2021
42,Alpha Innovations,Search,Men 25-34,45 days,Email,1%,"$13,096.00",3.44,Los Angeles,French,360,2776,1,Foodies,11-02-2021
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,9%,"$7,818.00",5.6,Houston,French,598,8637,5,Fashionistas,12-02-2021
44,Innovate Industries,Display,All Ages,30 days,Instagram,9%,"$8,214.00",4.77,Chicago,English,988,1612,5,Fashionistas,13-02-2021
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,4%,"$6,882.00",3.31,Miami,English,282,8038,7,Tech Enthusiasts,14-02-2021
46,NexGen Systems,Display,Women 35-44,60 days,Google Ads,3%,"$13,470.00",6.8,Miami,English,992,8036,8,Health & Wellness,15-02-2021
47,DataTech Solutions,Search,Men 25-34,60 days,YouTube,6%,"$14,948.00",7.4,New York,French,903,3940,3,Foodies,16-02-2021
48,Innovate Industries,Social Media,Men 18-24,60 days,Instagram,4%,"$15,255.00",3.8,Chicago,French,629,1824,3,Health & Wellness,17-02-2021
49,TechCorp,Display,All Ages,60 days,Facebook,10%,"$9,510.00",5.25,Houston,French,190,2071,4,Tech Enthusiasts,18-02-2021
50,TechCorp,Social Media,Women 25-34,45 days,Email,11%,"$7,521.00",3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,19-02-2021
51,NexGen Systems,Search,Men 25-34,60 days,Facebook,12%,"$10,405.00",5.79,Los Angeles,French,134,8463,9,Foodies,20-02-2021
52,NexGen Systems,Search,Men 25-34,15 days,Website,10%,"$15,955.00",6.48,Houston,French,657,9831,7,Foodies,21-02-2021
53,TechCorp,Email,Men 18-24,30 days,Facebook,13%,"$15,428.00",7.62,Houston,French,385,4937,6,Tech Enthusiasts,22-02-2021
54,NexGen Systems,Display,Women 35-44,45 days,YouTube,2%,"$19,832.00",3.35,New York,English,537,4739,9,Outdoor Adventurers,23-02-2021
55,NexGen Systems,Social Media,Men 18-24,30 days,YouTube,5%,"$17,375.00",6.15,Miami,Spanish,450,6012,7,Foodies,24-02-2021
56,NexGen Systems,Display,Men 25-34,15 days,Website,13%,"$8,903.00",3.7,Miami,English,178,8529,9,Health & Wellness,25-02-2021
57,NexGen Systems,Email,Women 35-44,15 days,Website,4%,"$14,511.00",6.66,Chicago,English,164,2122,8,Foodies,26-02-2021
58,Innovate Industries,Email,Men 18-24,60 days,Email,6%,"$17,305.00",2.7,New York,French,569,1850,2,Fashionistas,27-02-2021
59,Alpha Innovations,Email,Women 25-34,45 days,Email,4%,"$18,063.00",4.93,Chicago,English,330,6920,6,Foodies,28-02-2021
60,Innovate Industries,Display,Men 25-34,15 days,Email,5%,"$10,293.00",6.8,Miami,French,256,3421,9,Health & Wellness,01-03-2021
61,DataTech Solutions,Email,Men 25-34,45 days,Email,5%,"$8,785.00",2.27,New York,German,849,9217,5,Fashionistas,02-03-2021
62,TechCorp,Email,Men 25-34,30 days,Email,9%,"$13,848.00",5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,03-03-2021
63,Innovate Industries,Influencer,Women 35-44,60 days,Email,1%,"$14,435.00",7.04,Houston,Mandarin,592,3596,4,Foodies,04-03-2021
64,NexGen Systems,Search,Men 18-24,30 days,Facebook,2%,"$14,001.00",3.71,Chicago,English,201,8702,10,Outdoor Adventurers,05-03-2021
65,DataTech Solutions,Display,All Ages,45 days,Website,11%,"$8,841.00",7.43,Houston,French,648,9122,9,Fashionistas,06-03-2021
66,NexGen Systems,Search,All Ages,60 days,YouTube,4%,"$11,366.00",7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,07-03-2021
67,Alpha Innovations,Display,Women 25-34,30 days,YouTube,7%,"$12,910.00",6.33,Miami,Spanish,839,5569,7,Foodies,08-03-2021
68,TechCorp,Search,Women 25-34,60 days,YouTube,12%,"$7,823.00",2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,09-03-2021
69,TechCorp,Display,All Ages,15 days,Facebook,3%,"$11,864.00",7.98,Chicago,French,932,9973,9,Tech Enthusiasts,10-03-2021
70,Innovate Industries,Email,All Ages,15 days,Facebook,10%,"$17,414.00",4.74,Los Angeles,German,694,2836,2,Foodies,11-03-2021
71,Alpha Innovations,Search,Men 25-34,30 days,Website,13%,"$18,201.00",5.58,New York,German,202,6745,8,Tech Enthusiasts,12-03-2021
72,Alpha Innovations,Social Media,All Ages,15 days,Email,3%,"$9,549.00",5.61,Chicago,French,416,9187,7,Health & Wellness,13-03-2021
73,TechCorp,Social Media,Women 35-44,15 days,YouTube,13%,"$16,635.00",7.46,Miami,English,576,9999,10,Health & Wellness,14-03-2021
74,NexGen Systems,Influencer,All Ages,45 days,Facebook,10%,"$9,310.00",5.63,New York,German,300,3687,9,Foodies,15-03-2021
75,NexGen Systems,Display,All Ages,15 days,YouTube,11%,"$5,158.00",6.67,Chicago,German,776,4238,3,Health & Wellness,16-03-2021
76,Innovate Industries,Search,Men 25-34,30 days,Instagram,4%,"$15,182.00",2.03,Houston,English,492,7364,2,Fashionistas,17-03-2021
77,Innovate Industries,Display,Men 18-24,45 days,Google Ads,8%,"$5,703.00",3.23,Chicago,German,763,8501,10,Foodies,18-03-2021
78,Innovate Industries,Search,Women 35-44,60 days,Google Ads,2%,"$12,008.00",4.82,Miami,Spanish,817,7892,2,Health & Wellness,19-03-2021
79,NexGen Systems,Display,Women 35-44,45 days,Google Ads,13%,"$15,850.00",7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,20-03-2021
80,Alpha Innovations,Influencer,Women 25-34,30 days,Email,10%,"$9,813.00",6.57,Miami,French,737,9941,6,Fashionistas,21-03-2021
81,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,14%,"$19,300.00",7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,22-03-2021
82,NexGen Systems,Social Media,Women 25-34,45 days,YouTube,12%,"$17,772.00",6.33,New York,English,913,1921,5,Foodies,23-03-2021
83,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,10%,"$17,293.00",3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,24-03-2021
84,NexGen Systems,Search,All Ages,60 days,YouTube,8%,"$8,398.00",3.99,Miami,English,134,3108,1,Health & Wellness,25-03-2021
85,Alpha Innovations,Influencer,Women 35-44,60 days,Email,15%,"$15,866.00",2.3,Houston,French,159,2139,10,Health & Wellness,26-03-2021
86,TechCorp,Social Media,All Ages,30 days,YouTube,13%,"$7,515.00",7.38,Houston,Mandarin,635,8489,3,Foodies,27-03-2021
87,DataTech Solutions,Email,Women 25-34,15 days,YouTube,15%,"$19,026.00",2.22,Miami,Mandarin,187,2573,10,Fashionistas,28-03-2021
88,TechCorp,Search,Men 18-24,60 days,Facebook,14%,"$8,280.00",7.89,New York,German,537,3042,1,Outdoor Adventurers,29-03-2021
89,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,10%,"$18,251.00",4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,30-03-2021
90,DataTech Solutions,Display,All Ages,15 days,Instagram,7%,"$13,108.00",2.01,Houston,German,550,3839,7,Tech Enthusiasts,31-03-2021
91,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,9%,"$15,477.00",6.98,Houston,English,956,9087,3,Foodies,01-04-2021
92,TechCorp,Email,Men 25-34,45 days,Email,9%,"$17,705.00",7,New York,Spanish,628,9545,4,Outdoor Adventurers,02-04-2021
93,Innovate Industries,Display,Women 35-44,15 days,Instagram,5%,"$18,470.00",2.57,Chicago,English,938,7879,10,Fashionistas,03-04-2021
94,NexGen Systems,Display,Men 25-34,45 days,Instagram,1%,"$14,438.00",7.19,New York,French,147,6497,10,Health & Wellness,04-04-2021
95,NexGen Systems,Search,Men 18-24,45 days,Facebook,8%,"$6,278.00",4.93,Miami,German,776,4289,8,Foodies,05-04-2021
96,TechCorp,Social Media,All Ages,15 days,Email,8%,"$5,185.00",4.61,New York,French,108,9532,1,Tech Enthusiasts,06-04-2021
97,Innovate Industries,Email,Women 25-34,15 days,Instagram,14%,"$18,799.00",3.69,Miami,French,395,6079,8,Health & Wellness,07-04-2021
98,Alpha Innovations,Search,All Ages,60 days,Facebook,4%,"$7,365.00",7.96,New York,French,419,4484,1,Fashionistas,08-04-2021
99,Alpha Innovations,Search,All Ages,60 days,Instagram,2%,"$6,565.00",3.12,New York,French,463,6061,8,Foodies,09-04-2021
100,TechCorp,Display,All Ages,60 days,Facebook,9%,"$9,022.00",5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,10-04-2021
101,NexGen Systems,Search,Men 25-34,45 days,YouTube,7%,"$18,735.00",4.86,Los Angeles,Spanish,706,8715,6,Foodies,11-04-2021
102,TechCorp,Search,Men 18-24,45 days,YouTube,9%,"$9,941.00",4.54,Chicago,English,207,8334,4,Tech Enthusiasts,12-04-2021
103,DataTech Solutions,Influencer,Men 18-24,60 days,Website,8%,"$10,113.00",6.87,Houston,English,583,1005,3,Health & Wellness,13-04-2021
104,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,10%,"$8,310.00",7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,14-04-2021
105,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,6%,"$15,073.00",2.17,Los Angeles,English,387,8035,2,Health & Wellness,15-04-2021
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,9%,"$7,541.00",3.35,Chicago,Spanish,560,3439,7,Fashionistas,16-04-2021
107,TechCorp,Influencer,Men 25-34,45 days,Google Ads,11%,"$14,875.00",6.5,New York,German,306,1560,3,Health & Wellness,17-04-2021
108,TechCorp,Email,All Ages,45 days,Email,6%,"$5,514.00",7.32,Miami,German,740,4550,1,Outdoor Adventurers,18-04-2021
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,5%,"$15,107.00",4.79,Houston,Spanish,115,1475,10,Fashionistas,19-04-2021
110,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,10%,"$13,712.00",6.4,Chicago,English,366,3843,3,Fashionistas,20-04-2021
111,Alpha Innovations,Influencer,All Ages,60 days,Facebook,5%,"$11,789.00",5.39,Houston,German,659,3670,9,Outdoor Adventurers,21-04-2021
112,DataTech Solutions,Email,All Ages,30 days,Website,13%,"$18,335.00",7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,22-04-2021
113,TechCorp,Display,Women 35-44,30 days,Google Ads,2%,"$19,035.00",2.01,Miami,Mandarin,560,6945,7,Health & Wellness,23-04-2021
114,DataTech Solutions,Email,Women 25-34,15 days,YouTube,11%,"$17,655.00",4.04,Los Angeles,English,369,8912,4,Health & Wellness,24-04-2021
115,NexGen Systems,Email,Women 25-34,45 days,Google Ads,11%,"$6,710.00",2.72,Houston,German,886,6158,7,Fashionistas,25-04-2021
116,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,9%,"$9,899.00",3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,26-04-2021
117,Innovate Industries,Email,All Ages,30 days,Instagram,14%,"$7,032.00",7.86,Chicago,Spanish,595,1555,4,Health & Wellness,27-04-2021
118,TechCorp,Social Media,All Ages,45 days,Website,5%,"$5,174.00",4.98,Houston,German,438,9741,1,Tech Enthusiasts,28-04-2021
119,Innovate Industries,Display,Women 35-44,15 days,YouTube,14%,"$15,679.00",3.71,Los Angeles,German,652,3884,7,Foodies,29-04-2021
120,NexGen Systems,Display,All Ages,45 days,YouTube,7%,"$12,143.00",7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,30-04-2021
121,Innovate Industries,Email,Women 35-44,45 days,Facebook,2%,"$19,329.00",7.58,Houston,English,841,4536,8,Outdoor Adventurers,01-05-2021
122,Innovate Industries,Search,All Ages,60 days,Email,9%,"$8,854.00",6.78,Chicago,German,137,4002,6,Tech Enthusiasts,02-05-2021
123,Alpha Innovations,Influencer,Women 35-44,45 days,YouTube,4%,"$5,232.00",7.61,New York,German,850,6515,5,Foodies,03-05-2021
124,NexGen Systems,Display,Men 25-34,30 days,Instagram,2%,"$13,006.00",3.7,Chicago,Spanish,727,2863,1,Fashionistas,04-05-2021
125,DataTech Solutions,Email,Men 18-24,45 days,Website,13%,"$5,653.00",6.08,Chicago,Mandarin,986,4477,10,Foodies,05-05-2021
126,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,2%,"$18,169.00",5.5,Miami,English,259,3941,7,Outdoor Adventurers,06-05-2021
127,DataTech Solutions,Social Media,Men 25-34,45 days,Email,8%,"$13,316.00",6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,07-05-2021
128,NexGen Systems,Email,All Ages,15 days,Email,8%,"$17,847.00",6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,08-05-2021
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,6%,"$10,639.00",4.32,New York,Spanish,166,5735,10,Health & Wellness,09-05-2021
130,Innovate Industries,Display,Men 25-34,15 days,YouTube,3%,"$10,945.00",3.16,Chicago,Spanish,508,8054,6,Fashionistas,10-05-2021
131,NexGen Systems,Email,Men 18-24,15 days,Instagram,11%,"$5,167.00",6.63,New York,Spanish,885,1932,7,Fashionistas,11-05-2021
132,DataTech Solutions,Influencer,Men 25-34,60 days,Google Ads,15%,"$8,300.00",6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,12-05-2021
133,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,14%,"$13,469.00",7.54,Houston,German,857,4028,8,Fashionistas,13-05-2021
134,TechCorp,Search,Men 25-34,30 days,Facebook,10%,"$19,254.00",2.41,Miami,English,481,1876,7,Foodies,14-05-2021
135,DataTech Solutions,Display,All Ages,60 days,Google Ads,4%,"$10,704.00",6.46,Chicago,French,999,7543,8,Tech Enthusiasts,15-05-2021
136,NexGen Systems,Email,Men 18-24,30 days,Email,15%,"$9,229.00",3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,16-05-2021
137,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,10%,"$14,125.00",4.9,Houston,Spanish,885,7833,5,Fashionistas,17-05-2021
138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,4%,"$8,222.00",6.17,Houston,Mandarin,666,1435,4,Foodies,18-05-2021
139,NexGen Systems,Email,Men 18-24,45 days,Website,7%,"$14,226.00",3.77,Chicago,German,359,9440,8,Outdoor Adventurers,19-05-2021
140,DataTech Solutions,Email,Men 18-24,60 days,Website,6%,"$18,985.00",4.61,Miami,English,328,8840,5,Fashionistas,20-05-2021
141,NexGen Systems,Email,Women 25-34,15 days,Email,8%,"$5,599.00",3.43,Houston,English,571,2404,3,Fashionistas,21-05-2021
142,Innovate Industries,Influencer,All Ages,45 days,Google Ads,8%,"$11,952.00",3.48,Houston,English,845,5702,8,Health & Wellness,22-05-2021
143,Innovate Industries,Display,Women 35-44,15 days,Facebook,5%,"$14,503.00",3.8,Miami,Mandarin,585,9150,3,Tech Enthusiasts,23-05-2021
144,DataTech Solutions,Search,Men 25-34,45 days,Instagram,11%,"$10,404.00",2.41,New York,German,418,3556,2,Tech Enthusiasts,24-05-2021
145,TechCorp,Social Media,Men 18-24,30 days,Email,12%,"$7,484.00",5.86,Houston,English,208,8730,2,Outdoor Adventurers,25-05-2021
146,TechCorp,Search,Men 25-34,60 days,Google Ads,3%,"$7,428.00",4.72,Houston,Mandarin,556,5179,4,Tech Enthusiasts,26-05-2021
147,TechCorp,Influencer,Men 25-34,15 days,Facebook,10%,"$11,495.00",5.13,Los Angeles,French,734,2612,5,Health & Wellness,27-05-2021
148,TechCorp,Influencer,All Ages,30 days,Facebook,13%,"$18,957.00",2.83,Los Angeles,Spanish,643,2939,4,Tech Enthusiasts,28-05-2021
149,NexGen Systems,Display,Men 18-24,45 days,Instagram,6%,"$10,772.00",2.94,Chicago,English,165,1496,6,Health & Wellness,29-05-2021
150,TechCorp,Search,Women 35-44,60 days,Instagram,14%,"$6,896.00",2.15,Houston,German,693,1290,1,Foodies,30-05-2021
151,NexGen Systems,Search,Men 18-24,60 days,Facebook,13%,"$13,318.00",2.98,New York,German,261,1415,6,Foodies,31-05-2021
152,TechCorp,Influencer,Women 35-44,60 days,Website,6%,"$7,031.00",5.67,Houston,French,404,8033,6,Tech Enthusiasts,01-06-2021
153,Alpha Innovations,Display,Women 35-44,15 days,Instagram,6%,"$5,466.00",2.66,Houston,English,257,5756,2,Tech Enthusiasts,02-06-2021
154,Innovate Industries,Influencer,All Ages,30 days,Instagram,11%,"$15,303.00",7.41,Chicago,Spanish,901,8712,2,Foodies,03-06-2021
155,TechCorp,Social Media,Women 35-44,30 days,Instagram,13%,"$13,157.00",4.41,New York,German,724,9573,6,Fashionistas,04-06-2021
156,Innovate Industries,Influencer,All Ages,15 days,Instagram,7%,"$13,197.00",3.31,Los Angeles,French,672,8765,9,Tech Enthusiasts,05-06-2021
157,Alpha Innovations,Display,Men 25-34,30 days,Facebook,9%,"$19,723.00",4.74,Houston,Mandarin,148,2746,8,Outdoor Adventurers,06-06-2021
158,NexGen Systems,Display,Men 18-24,60 days,Google Ads,12%,"$18,903.00",7.24,Miami,French,488,4253,1,Tech Enthusiasts,07-06-2021
159,Alpha Innovations,Display,Women 35-44,60 days,Website,6%,"$17,737.00",4.23,Houston,Spanish,420,8196,4,Foodies,08-06-2021
160,DataTech Solutions,Social Media,Women 25-34,30 days,Instagram,8%,"$16,981.00",5.74,Miami,French,395,7469,6,Foodies,09-06-2021
161,TechCorp,Search,All Ages,45 days,Website,5%,"$15,993.00",6.55,Miami,English,616,9536,8,Fashionistas,10-06-2021
162,DataTech Solutions,Social Media,Men 18-24,30 days,YouTube,7%,"$7,893.00",5.28,Chicago,German,170,6306,9,Foodies,11-06-2021
163,TechCorp,Email,Women 25-34,15 days,Google Ads,4%,"$9,858.00",3.09,Los Angeles,Spanish,957,4396,9,Tech Enthusiasts,12-06-2021
164,NexGen Systems,Influencer,Women 35-44,30 days,Email,9%,"$6,885.00",7.65,Houston,Spanish,872,3269,1,Tech Enthusiasts,13-06-2021
165,TechCorp,Email,Men 25-34,30 days,Email,7%,"$11,587.00",3.17,Houston,English,716,2676,9,Foodies,14-06-2021
166,NexGen Systems,Email,All Ages,30 days,Facebook,15%,"$5,202.00",5.94,New York,German,998,5108,3,Fashionistas,15-06-2021
167,Innovate Industries,Search,Men 18-24,15 days,Instagram,8%,"$15,651.00",7.24,Los Angeles,English,481,4165,7,Tech Enthusiasts,16-06-2021
168,NexGen Systems,Display,All Ages,30 days,Website,12%,"$11,879.00",8,New York,Spanish,568,4997,6,Outdoor Adventurers,17-06-2021
169,TechCorp,Influencer,Women 25-34,60 days,Email,3%,"$12,183.00",4.36,Los Angeles,English,421,6087,10,Tech Enthusiasts,18-06-2021
170,TechCorp,Search,All Ages,30 days,Google Ads,7%,"$10,690.00",5.41,Los Angeles,English,797,1306,9,Foodies,19-06-2021
171,TechCorp,Social Media,Men 25-34,30 days,Website,6%,"$12,886.00",4.62,Miami,Mandarin,668,2507,8,Foodies,20-06-2021
172,Innovate Industries,Influencer,Men 25-34,15 days,Google Ads,9%,"$10,854.00",6.1,Houston,English,303,9453,2,Health & Wellness,21-06-2021
173,DataTech Solutions,Influencer,All Ages,15 days,YouTube,11%,"$7,170.00",3.76,Los Angeles,German,540,6422,8,Foodies,22-06-2021
174,Innovate Industries,Display,Men 25-34,45 days,Google Ads,15%,"$17,414.00",6.9,Los Angeles,French,801,8439,5,Foodies,23-06-2021
175,Innovate Industries,Search,Men 18-24,15 days,Instagram,10%,"$12,272.00",5.29,Los Angeles,French,436,7817,7,Outdoor Adventurers,24-06-2021
176,Innovate Industries,Social Media,All Ages,15 days,Website,9%,"$6,489.00",2.22,Chicago,English,683,9143,6,Foodies,25-06-2021
177,Innovate Industries,Display,Women 35-44,60 days,YouTube,8%,"$19,732.00",6.06,Chicago,English,862,6773,1,Tech Enthusiasts,26-06-2021
178,Alpha Innovations,Social Media,All Ages,45 days,YouTube,9%,"$17,837.00",3.84,Houston,English,944,9536,6,Foodies,27-06-2021
179,Innovate Industries,Display,All Ages,45 days,Email,13%,"$11,954.00",4.91,Miami,Mandarin,241,9184,8,Foodies,28-06-2021
180,Alpha Innovations,Display,Women 35-44,30 days,Google Ads,1%,"$16,862.00",6.29,Chicago,Spanish,200,1513,9,Tech Enthusiasts,29-06-2021
181,TechCorp,Display,All Ages,45 days,Email,7%,"$8,076.00",4.29,New York,Mandarin,883,3400,8,Fashionistas,30-06-2021
182,DataTech Solutions,Influencer,Women 35-44,15 days,Facebook,6%,"$19,143.00",2.58,Los Angeles,Spanish,690,1087,7,Tech Enthusiasts,01-07-2021
183,TechCorp,Influencer,Women 35-44,15 days,Instagram,6%,"$18,350.00",3.2,New York,Spanish,372,3266,4,Health & Wellness,02-07-2021
184,DataTech Solutions,Social Media,Men 18-24,45 days,Email,6%,"$12,315.00",3.97,Chicago,Spanish,505,4099,7,Fashionistas,03-07-2021
185,NexGen Systems,Influencer,Men 25-34,15 days,Instagram,14%,"$17,598.00",7.27,Chicago,Mandarin,961,8475,7,Outdoor Adventurers,04-07-2021
186,TechCorp,Email,Women 35-44,30 days,Instagram,5%,"$19,545.00",2.57,Houston,German,209,1917,1,Health & Wellness,05-07-2021
187,NexGen Systems,Email,Men 25-34,60 days,Email,13%,"$14,231.00",6.28,Chicago,Mandarin,312,8509,3,Health & Wellness,06-07-2021
